German,English
Lasst,Let
gegeben,given
An,An
hör,hear
glücklich,happy
verdammt,damned
alt,all
Platz,Place
darum,therefore
Vielen,Many
falsch,incorrect
unseren,ours
schlafen,sleep
Sagen,Say
nächsten,next
fünf,five
frei,free
Sorge,It rises
Vor,Before
fest,fest
bereits,already
alleine,alone
Denn,Because
Zwei,Two
Fragen,Questions
möglich,possible
irgendwie,somehow
Papa,Board
lernen,learn
gestern,yesterday
hierher,here
Schiff,Schiff
vier,four
irgendwas,something
Stimmt,True
Menge,Crowd
keiner,none
brauchst,need
Typen,The type
Dass,That
Stunde,Hour
Szene,scene
Hölle,hell
einige,some
Deshalb,For this reason
geworden,become
Telefon,Telephone
Darf,May
Feuer,Fire
Wollen,Want
Bin,Bin
Alter,Alter
Captain,Captain
Aus,Out of
Dieses,This
Probleme,Problems
Jeder,Everyone
verstanden,understood
wann,if
alten,old
gibt's,there is
sondern,rather
guten,good
zwar,that is
eigenen,own
New,New
Körper,Body
hört,heard
Zum,For the
gebe,give
Kumpel,Buddy
Hund,Dog
nochmal,again
hab's,hab's
früh,early
Hören,Hear
trinken,drink
besten,best
meines,mine
schaffen,create
alte,other
Luft,Air
Jemand,Someone
dürfen,may
Meister,Master
Erde,Earth
Seit,Since
Sicher,secure
Hört,Heard
Zukunft,Future
kaum,race
funktioniert,functions
voll,full
Bleib,Stay
reicht,suffices
weh,Wow
stellen,place
Siehst,See
kleiner,smaller
großen,big
Waffen,Weapons
Büro,Office
Wahl,Choice
verlieren,lose
Wochen,weeks
Damit,With it
Stück,Piece
lieben,love
allem,everything
getroffen,met
äh,uh
Am,Am
geschafft,done
tue,tue
gefallen,fallen
Tja,There
Boss,Boss
überall,everywhere
Sieht,Sees
passieren,happen
lustig,funny
Licht,Light
gebracht,brought
nennen,to name
Folge,Consequence
Gefühl,Feeling
völlig,fully
denkt,thinks
Schlüssel,Key
drüben,over
Richtig,Correct
wieso,how come
Leuten,people
Buch,Book
laufen,run
spielt,plays
früher,earlier
Sein,Be
krank,sick
gegangen,gone
fand,found
Seine,His
Pass,Pass
fühle,feel
Himmel,Heaven
froh,glad
leicht,light
direkt,directly
langsam,slow
wolltest,wanted
erinnern,remember
zuerst,first
Krankenhaus,hospital
Viel,Much
beste,other
welche,which
genommen,taken
Arzt,Physician
unserem,ours
Idiot,Idiot
Machen,Make
glaubst,believe
jede,every
Ohne,Without
groß,large
hattest,had
Äh,Uh
Jungen,boys
Rest,Rest
Unsere,Our
versuche,try
Tagen,days
nächste,next
Entschuldigen,Excuse
Doktor,Doctor
spricht,speaks
könnt,can
hält,holds
Team,Team
Verstanden,Understood
kämpfen,battle
heiraten,marry
könntest,could
Wow,Wow
Etwas,Something
Straße,Street
Mist,Mist
König,king
redest,talk
kleines,small
lebt,lives
erklären,explain
worden,become
Millionen,Millions
Wiedersehen,Goodbye
Onkel,Uncle
kennst,know
sitzen,sit
dies,dies
weniger,fewer
Kaffee,Coffee
ernst,ernst
wollt,wanted
tragen,carry
Zeug,Things
trotzdem,despite it
Ihren,Your
kaufen,buy
Liste,List
ändern,change
Kampf,Battle
hasse,rush
Person,Person
Mund,Can
umbringen,kill
Präsident,president
Boden,Floor
Wohin,Where
machte,made
Party,Party
gefragt,asked
Seht,See
irgendwo,somewhere
kümmern,take care
kennt,knows
verletzt,injured
Habt,Have
Nachricht,News
Willkommen,Welcome
vielen,many
hart,hart
lasse,load
total,total
Gefängnis,Jail
außer,except
Sicherheit,Security
Schnell,Fast
wem,whom
ehrlich,ehrlich
interessiert,interested
Sex,Sex
sagten,said
ziehen,pull
Welche,Which
Unser,Our
Augenblick,Augenblick
angerufen,called
aufhören,stop
Klasse,Class
Bild,Picture
stark,stark
Dies,Dies
Eure,Your
zehn,ten
Sinn,To be
vorstellen,introduce
Traum,Dream
länger,longer
manchmal,sometimes
anrufen,call
sechs,six
Arschloch,asshole
sollst,should
gestorben,died
Tages,Taken
war's,war's
verschwinden,disappear
Kraft,Kraft
gesprochen,spoken
heraus,out of here
genauso,just as
wärst,would be
Eins,Like
damals,at that time
heißen,be called
Liebling,Darling
wahrscheinlich,probably
deshalb,for this reason
Stelle,position
halt,halt
erwartet,expected
solche,such
meisten,most
bringe,bring
still,still
umgebracht,killed
Stimme,Agree
General,General
Geben,Give
Entschuldige,Sorry
Vergiss,Forget
rede,network
führen,lead
Bewegung,Movement
höre,listen
Sonst,Otherwise
Geschäft,Business
werdet,will
konnten,could
wartet,waits
Raus,Out
